product_name,manufacturer,normalized_name,item_code,hsn_code,package,distributor,mrp,purchase_rate,s,gst_rate,product_id,original_item_code
AMRUTHA RATHNA PAIN OIL 100ML-A&J HEA,A&J HEALTH CARE,,sapl_637,30049011,Bottle of 100 ml oil,sapl,180.00,138.20,Yes,12,PLAT76CW,637
AMRUTA RATHNA ORTHOTAB 30TAB-A&J HEA,A&J HEALTH CARE,,sapl_607,30049011,Packet of 30 tablets,sapl,240.00,186.32,Yes,12,PLASXZTO,607
